crn	rg_sal	merchant	tran_date	tran_partclr	tran_amt_in_ac	chosen_method	pension_pay_flag
100101174	379804	astronomer india private li	2026-01-30	NEFT CITIN26613713219 ASTRONOMER INDIA PRIVATE LI	379804	Percent	0	
100101174	379804	astronomer india private li	2025-10-31	NEFT CITIN25648094449 ASTRONOMER INDIA PRIVATE LI	448326	Percent	0	
100101174	379804	astronomer india private li	2025-11-28	NEFT CITIN25662651706 ASTRONOMER INDIA PRIVATE LI	379804	Percent	0	
100101174	379804	astronomer india private li	2025-12-23	NEFT CITIN25673412704 ASTRONOMER INDIA PRIVATE LI	379801	Percent	0	
